,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
91,위반,담합,행위,과징금,입찰담합,입찰,공정,등,제,상고
92,정수기,얼음정수기,얼음,사건,니켈,등,원고,위,판결,니켈성분
93,공제,안전,책임,학교,배상,원고,조,제,피,안전법
94,소송,채권,나머지,청구,원고,사건,제기,압류,시효,판결
95,사건,사고,행위,발생,사망,침범,중앙선,범죄,범죄행위,원심
96,조,저,소송,변호사,제,법인,법무법인,사법,법무,원심
97,피해자,심,저,피고인,판결,진술,판단,사실,손가락,사건
98,본,성과,종중,변경,종,모의,구성원,판결,성년,자격
99,고시,공고,사업,조,사건,계획,제,시행,토지,발표
100,행위,거래,지원,등,제,공정,특수,원고,항,관계인
101,판결,선고,원심,소송,사건,절차,소송절차,채무자,수계,법원
102,임대차,피고,이유,사건,임대차계약,계약,등,판결,농지,원심
103,피고,제,원고,등,원심,이유,의료,판결,퇴직금,판단
104,처분,사건,이유,공개,판결,정보,원심,취소,징계,이익
105,임대,보증금,주택,임대보증금,전환,사건,건설,계약,등,임대차
106,원고,혼인,피고,사건,관계,수,사건본인,본인,혼인관계,부부
107,상고,피고인,비약적,항소,판결,효력,수,경우,이유,인정
108,결정,즉시,즉시항고,항고,채무,행자,등재,등재결정,채무불이행자명부,명부
109,사실,이혼,당산제,피해자,평가,공소,사람,등,외,공소외
110,법무사,신고,휴업,재개,업무,등록,경우,취소,조,사법
111,소송,관리,위탁,계약,관리위탁계약,수계,사건,업자,제,조
112,원고,대출,사건,약정,판결,피고,등,수,계약,사업
113,등사,열람,수,회사,등,이유,주주,원심,상법,청구
114,선고,피고인,이유,판결,심,저,사건,등,절차,변경
115,어음,원고,약속,피고,약속어음,물품대금,대금,이유,제,물품
116,사건,등,토지,결정,지공,표준액,표준,시가표준액,소송,시가
117,인수,판결,원심판결,사건,경매,절차,경매절차,원심,등기,가등기
118,저작물,공연,음악,음악저작물,영화,허락,사건,수,원고,사용료
119,건설,대우건설,대우,등,입찰,이사,피고,사업,행위,이유
